qa	['阿', '啊']
phaew	['胞', '拋', '泡']
baewq	['孢', '鮑']
poeuk	['剝', '爆', '駁']
baew	['炮', '刨', '泡', '咆', '跑', '掊']
phaewh	['炮']
paw	['褒']
bak	['薄', '泊', '箔', '簿']
boeuk	['雹', '跑']
pawq	['保', '堡', '寶']
paewq	['飽']
pawh	['報']
bawh	['暴', '曝', '瀑']
bouk	['暴', '曝', '僕', '樸', '瀑']
paewh	['爆', '豹']
pak	['爆', '博', '搏']
bawq	['抱']
pyi	['悲']
poj	['杯']
pie	['卑', '裨']
pye	['碑']
bojh	['背', '焙', '佩']
pojh	['背', '輩']
peok	['北']
bojq	['倍', '痱', '菩']
byih	['備']
beejh	['憊']
byeh	['被']
pajh	['貝', '狽', '沛']
pieh	['臂']
pon	['奔']
ponh	['奔']
ponq	['本', '苯', '笨']
bonq	['笨', '夯']
peong	['崩']
peeng	['繃', '拼']
beongh	['蹦']
peongh	['泵']
peengh	['迸']
pyik	['逼', '幅']
bih	['鼻', '比', '枇']
bot	['荸', '脖', '勃', '渤']
bi	['比', '琵', '枇', '毗']
bit	['比', '泌']
pih	['比', '庇', '痹']
piq	['比', '秕', '匕', '枇']
pyeq	['彼']
pyit	['筆', '泌']
pyiq	['鄙']
bieh	['避']
biejh	['弊', '幣', '斃']
piejh	['蔽', '彆']
pejh	['閉']
pet	['閉']
pit	['必', '畢']
pyih	['泌', '祕', '費']
biaek	['辟', '闢']
phiaek	['辟', '癖', '僻']
piaek	['辟', '璧']
pek	['壁']
pyaek	['碧']
bieq	['婢']
bie	['裨', '脾', '啤']
pej	['蓖']
pen	['邊', '編', '蝙']
penq	['編', '扁', '匾']
pien	['編', '鞭']
benq	['扁', '辮']
bienq	['扁']
phien	['扁', '偏', '篇', '翩']
pyemq	['貶']
pyenh	['變']
bien	['便', '平']
bienh	['便']
penh	['遍']
byenq	['辯', '辨']
piew	['標', '飆']
piewq	['標']
biewq	['膘']
phiewq	['膘']
tsiewq	['膘', '剿']
pyiw	['彪']
pyewq	['表', '錶']
phiet	['憋', '癟', '瞥']
piet	['憋', '鱉']
bet	['癟']
byet	['別']
pin	['賓', '濱', '檳', '瀕']
phin	['繽']
pyin	['彬', '份']
pinh	['殯', '鬢']
pying	['冰']
pyaeng	['兵']
beng	['屏', '萍', '瓶']
piaeng	['屏', '拼']
piaengq	['屏', '餅', '併']
pyaengq	['丙', '秉']
pyaengh	['柄']
pyimq	['稟']
byaengh	['病', '評', '坪']
bengq	['並', '併']
beengq	['併']
piaengh	['併', '摒']
pa	['波', '菠', '番']
pha	['玻', '坡', '頗']
pah	['播', '簸', '番']
pat	['撥', '鉢', '筏']
phak	['搏', '膊']
puoh	['搏', '付', '咐', '傅', '賦']
paq	['跛', '簸']
pyeh	['跛']
beok	['蔔', '仆', '菩']
poq	['補', '譜', '圃']
boh	['捕', '哺', '步', '埠']
pouk	['卜', '樸']
poh	['布', '佈', '圃']
phoh	['怖', '鋪']
boq	['部', '簿']
bouq	['部', '培']
pu	['不']
puq	['不', '否']
put	['不']
phoq	['埔', '普', '浦']
tshat	['擦']
tsrheet	['擦', '察']
tsheoj	['猜']
dzeoj	['才', '纔', '財', '材', '裁']
dzeojh	['纔', '裁', '栽', '載', '在']
sraem	['纔', '衫']
tsheojq	['采', '採', '彩', '綵', '踩', '睬']
tsheojh	['菜']
tshajh	['蔡']
sam	['參', '三', '叁']
sryim	['參', '森']
tshom	['參']
tshomh	['參']
tsrhyim	['參']
tshan	['餐']
dzam	['慚']
dzan	['殘']
dzom	['蠶', '咱']
tshomq	['慘']
tshanh	['燦']
dzreen	['孱']
dzreenq	['孱', '棧']
dzryen	['孱']
sreem	['摻', '杉']
sreemq	['摻']
tshang	['倉', '蒼', '艙', '滄']
tshangq	['蒼']
tsrhyangh	['滄', '創']
dzang	['藏']
dzangh	['藏', '臟']
souq	['操', '叟']
tshaw	['操']
tshawh	['操', '糙', '鑿', '造']
dzaw	['曹', '嘈', '槽']
tsaw	['槽', '糟', '遭']
tshawq	['草']
tsrhyh	['廁']
tsryk	['側', '仄']
tsrhyk	['測', '惻']
tsrheek	['冊', '策', '柵']
dzryim	['岑']
dzeong	['曾', '層']
tseong	['曾', '增', '憎']
tsheongh	['蹭']
tsrhae	['差', '叉', '杈']
tsrhee	['差', '叉']
tsrheeh	['差', '杈', '衩']
tsrheej	['差']
tsrhye	['差']
tsrheep	['插', '笈']
tsrae	['喳', '查', '碴', '渣', '楂']
dzrae	['查', '碴', '楂']
drae	['茶', '塗', '荼']
dzry	['茬']
tsry	['茬']
tsrhaeh	['衩', '岔']
trhaeh	['詫']
tsrhaet	['剎']
trhaek	['拆']
dzree	['柴']
dzreej	['豺']
dzreem	['攙', '饞']
tsrhaem	['攙']
djien	['單', '蟬', '禪', '嬋', '撣']
djienh	['單', '禪', '膳', '繕', '擅']
djienq	['單', '善']
tan	['單', '丹']
drien	['纏']
drienh	['纏']
sreenq	['產', '汕']
tsrhaenh	['鏟']
tsrheenq	['鏟']
tjhienq	['闡']
tjienh	['顫', '戰']
tsrhaemh	['懺']
tjhyang	['昌', '猖', '倡']
dryang	['長', '場', '腸']
dryangh	['長', '仗']
tryangq	['長']
djyang	['常', '嘗', '償', '嫦', '徜', '裳', '尚']
djyangh	['償', '上', '尚']
sjyangq	['償', '賞', '晌']
tjhyangq	['敞', '廠']
tjhyangh	['廠', '唱', '倡']
trhyangh	['暢', '悵']
tsrhaew	['抄', '鈔']
tsrhaewh	['抄', '鈔', '縐']
tsrhaewq	['抄', '吵', '炒', '謅']
miewq	['吵', '秒', '渺', '藐']
trhiew	['超']
tjhyak	['綽']
driew	['朝', '潮']
triew	['朝']
traew	['嘲']
dzraew	['巢']
dzraewh	['巢']
kyo	['車', '居', '据']
tjhiae	['車']
tjhiaeq	['扯', '哆']
driet	['徹', '撤', '澈', '轍']
trhiet	['徹', '撤']
tjhiejh	['掣']
tjhiet	['掣']
trhim	['琛']
drin	['陳', '塵', '趁']
drinh	['陳', '診', '陣']
djin	['臣', '晨', '辰']
zjin	['晨', '神']
drim	['沈', '湛', '枕']
drimh	['沈']
sjimq	['沈', '審', '嬸']
djim	['忱']
nrienq	['趁', '碾']
trhinh	['趁']
tjhyng	['稱']
tjhyngh	['稱', '秤']
tsrhyinh	['襯']
trhaeng	['撐']
tang	['鐺', '當', '噹', '襠', '檔']
tsrhaeng	['鐺', '槍']
djiaeng	['成', '城', '誠', '盛']
djiaengh	['盛']
driaeng	['呈', '程']
driaengh	['呈', '鄭']
djyng	['丞', '承']
djyngh	['丞']
zjyng	['乘', '繩']
zjyngh	['乘', '剩']
dryng	['懲', '澄', '瞪']
draeng	['澄', '盯']
dreeng	['橙', '瞪']
teongh	['橙', '凳']
trhiaengq	['逞', '騁']
khek	['喫']
trhy	['癡']
tjhy	['嗤']
da	['池', '馱', '陀', '駝', '鴕']
drie	['池', '馳', '踟']
sjieq	['弛']
dri	['遲', '莉']
djie	['匙', '堤', '提']
dry	['持', '莉', '治']
tjhyq	['齒']
trhyq	['恥', '祉']
tjhiaek	['尺', '呎', '赤', '斥']
tjhieq	['侈', '哆']
djieh	['豉']
sjieh	['翅', '施']
tjhiaeh	['斥']
tjhit	['叱']
tjhyh	['熾', '哆', '幟']
tjhung	['充']
drung	['沖', '蟲', '种', '盅']
trhung	['忡', '盅']
tjhuong	['衝', '憧', '潼']
droeungh	['憧', '幢', '撞']
drungh	['蟲', '仲']
druong	['重']
druongh	['重']
druongq	['重']
dzrung	['崇']
trhuongq	['寵']
trhu	['抽', '惆']
dru	['籌', '躊', '疇', '綢', '稠']
dju	['酬']
thaw	['綢', '叨', '滔', '掏', '挑']
khyiw	['惆']
gu	['仇', '求', '球']
dzru	['愁']
tjhuq	['醜']
trhuq	['丑']
huh	['臭', '嗅']
tjhuh	['臭']
tsrhyo	['初']
tjhwih	['出']
tjhwit	['出']
dryo	['除', '櫥', '躇', '儲', '屠', '著']
dryoh	['除']
druo	['廚', '櫥', '躕']
dzryo	['鋤']
dzruo	['雛']
tjhyoh	['處']
tjhyoq	['處']
tsrhyoq	['礎', '楚']
tsrhyoh	['楚']
huk	['畜', '蓄']
trhuh	['畜']
trhuk	['畜', '搐', '矗', '蓄']
tjhuok	['觸']
tsrhuk	['矗']
trwit	['絀', '茁']
tsrhueq	['揣']
twaq	['揣', '朵', '躲']
tjhwien	['穿', '川']
tjhwienh	['穿', '串']
zjwien	['船']
drwien	['傳']
drwienh	['傳']
trwienh	['傳', '轉']
tjhwienq	['喘']
kwaenh	['串', '慣']
tsrhoeung	['窗', '囪']
tsrhyang	['創', '瘡']
dzryang	['床']
droeung	['幢', '撞']
trhimh	['闖']
tsrhyangq	['闖', '搶']
tjhwie	['吹', '炊']
tjhwieh	['吹']
djwie	['垂', '陲']
tjwieq	['捶']
drwie	['錘']
drwieh	['錘']
drwi	['鎚', '椎']
drwih	['鎚', '墜']
toj	['鎚', '堆', '敦']
tjhwin	['春']
trhwin	['椿']
djwin	['純', '淳', '醇']
don	['純', '沌', '燉', '屯', '飩', '豚', '臀']
tjwinq	['純', '准', '準']
zjwin	['脣']
tjhwinq	['蠢']
trhoeuk	['戳']
djwiejh	['啜']
djwiet	['啜']
tjhwiet	['啜']
trwiejh	['啜', '輟', '綴']
trwiet	['啜', '輟', '綴']
dzie	['疵']
zy	['辭', '詞', '祠']
dzy	['慈', '磁', '茲']
dzi	['瓷', '薺']
tshie	['雌']
tshieq	['此']
tshih	['次']
tshiaek	['刺']
tshieh	['刺']
sieh	['賜']
sy	['伺', '思', '司', '絲']
syh	['伺', '思']
tshoung	['聰', '蔥', '匆', '囪']
dzuong	['從']
dzuongh	['從']
tshuong	['從', '鬆']
dzoung	['叢']
tshouh	['湊']
dzoq	['粗']
tshoh	['醋', '錯', '措']
tshuok	['促']
tshouk	['簇']
tshot	['卒', '猝']
tsot	['卒']
tswit	['卒']
tshwan	['汆']
dzwan	['攢']
tsanh	['攢', '贊', '讚']
tsanq	['攢']
tsrhwaenh	['篡']
tshwanh	['竄']
tshoj	['催', '崔']
dzoj	['摧', '崔']
tshojq	['璀']
tshwih	['翠']
swih	['粹', '邃', '祟']
dzwih	['悴', '萃']
tshwiejh	['脆']
tshon	['村']
dzon	['存', '蹲']
tshonh	['寸', '吋']
tsha	['搓', '磋']
tshah	['磋']
tshwat	['撮']
tswat	['撮']
tshak	['錯']
tswah	['挫']
dzouk	['銼', '鑿', '族']
dzwa	['銼']
tshwah	['銼']
top	['答', '瘩']
thap	['搭', '塌', '塔', '榻']
taengq	['打']
tengq	['打', '頂', '鼎']
dat	['達']
that	['達']
dop	['沓']
dah	['大', '馱']
dajh	['大']
ngeoj	['呆']
teoj	['呆']
teojq	['歹', '等']
dejh	['逮', '弟', '第', '遞', '締', '題']
deojh	['逮', '代', '袋', '黛', '玳']
deojq	['待', '怠', '殆']
tajh	['帶']
teojh	['戴']
theojh	['貸', '態']
tam	['擔']
tamh	['擔']
tom	['耽', '眈', '湛']
tomq	['耽']
dom	['眈', '潭', '譚', '曇']
tamq	['膽']
dan	['撣', '但', '彈', '壇', '檀']
danh	['撣', '但', '彈', '憚']
danq	['蛋', '但', '誕', '袒']
tanh	['旦']
dam	['澹', '淡', '談', '痰']
damh	['澹', '淡', '氮']
damq	['澹', '淡']
jiemq	['淡']
djiaek	['石', '碩']
tangh	['當', '擋']
tangq	['黨', '擋', '蕩']
dangq	['盪', '蕩']
thang	['盪', '湯']
thangh	['盪', '蕩', '湯', '燙']
dangh	['宕']
taw	['刀']
dawh	['導', '蹈', '盜', '悼']
tawh	['禱', '倒', '到']
tawq	['禱', '島', '搗', '倒']
dawq	['道', '稻']
teok	['得', '德']
tek	['的', '滴', '嘀', '嫡', '弔', '芍', '適']
dih	['地']
teong	['登', '燈']
deongh	['蹬', '鄧']
teongq	['等']
dryngh	['瞪']
tej	['低', '堤']
treek	['嘀', '摘']
tejq	['堤', '底', '抵', '邸', '詆']
dej	['提', '詆', '締', '折', '題', '啼', '蹄']
dek	['敵', '笛', '狄', '迪', '滌']
traek	['嫡']
tji	['砥', '脂', '祗']
tjieq	['砥', '咫', '紙']
tjiq	['砥', '旨', '指']
thek	['詆', '踢', '剔', '惕', '摘']
dejq	['弟', '遞']
tejh	['帝', '蒂', '諦', '嚏']
ten	['顛', '滇', '巔', '癲']
thenh	['顛', '滇']
den	['滇', '佃', '田', '填']
tem	['掂', '佔']
temq	['點', '玷']
tenq	['典', '碘']
denh	['電', '甸', '殿', '澱', '奠', '靛', '佃', '填']
temh	['店', '惦', '墊', '唸', '沾']
tenh	['殿', '唸']
dep	['墊', '碟', '諜', '蝶', '疊']
tengh	['奠', '釘', '定', '錠', '訂']
tew	['雕', '碉', '凋', '刁', '叼']
tewh	['釣', '吊', '弔']
dewh	['掉', '調']
dewq	['掉', '挑']
nroeuk	['掉']
dew	['調', '佻', '條', '笤', '跳']
tru	['調']
daq	['爹', '舵']
tiae	['爹']
det	['跌', '迭', '凸', '姪']
thep	['蝶', '貼', '帖']
teng	['丁', '叮', '釘', '仃']
treeng	['丁']
traengq	['盯']
dengh	['定', '錠', '廷']
dengq	['訂', '蜓', '霆', '艇', '挺']
theng	['訂', '聽', '廳']
tiw	['丟']
toung	['東', '凍']
tong	['冬', '咚']
toungq	['董', '懂']
doungq	['動', '桶']
doung	['洞', '同', '銅', '桐', '童', '潼', '瞳', '筒']
doungh	['洞', '胴', '筒']
toungh	['凍', '棟']
to	['都', '嘟']
tou	['兜']
touq	['斗', '抖', '蚪', '陡']
touh	['鬥']
douh	['豆', '痘', '逗', '讀']
druoh	['逗', '住']
douk	['讀', '獨', '瀆', '牘']
tok	['督', '篤']
dok	['毒']
toq	['賭', '堵', '睹', '肚']
tjiaeq	['堵', '者', '這']
doq	['肚', '杜', '土']
dak	['度', '踱']
doh	['度', '渡', '鍍']
do	['鍍', '途', '塗', '荼', '徒', '屠', '圖']
toh	['妒']
twan	['端']
twanq	['短', '斷']
dwanh	['段']
dwanq	['緞', '斷']
twanh	['鍛', '斷']
tojh	['對']
dojh	['隊']
dwajh	['兌', '銳', '脫']
dwan	['敦', '團']
ton	['敦', '墩', '噸']
tonh	['敦', '頓']
tonq	['躉']
tjwinh	['盹', '諄']
donq	['盾', '遁', '沌', '囤']
zjwinq	['盾', '吮']
donh	['遁', '鈍']
drwienq	['沌']
thon	['燉']
ta	['多']
tah	['哆']
taq	['哆']
traeh	['哆', '炸', '咤']
trhae	['哆']
dwat	['奪', '脫']
dwaq	['垛', '墮', '惰']
hwie	['墮']
thwaq	['墮', '隋', '妥', '橢']
dwah	['惰']
twah	['跺']
nga	['鵝', '娥', '俄', '哦', '峨']
ngaek	['額']
ngwa	['訛']
qoh	['噁', '惡', '汙']
ngak	['噩', '鱷', '愕', '顎']
qeek	['厄', '扼', '啞']
qat	['遏']
ngah	['餓']
qak	['惡']
qo	['惡', '烏', '嗚', '於']
heejh	['欸']
qeon	['恩', '嗯']
ngej	['兒', '霓', '倪']
njie	['兒']
njy	['而']
njyq	['耳']
njyh	['餌']
njieq	['爾', '邇']
njih	['二', '貳']
puot	['發', '髮']
buop	['乏', '泛']
puop	['法']
buon	['番', '蕃', '藩', '煩', '繁', '礬', '樊']
phuon	['番', '翻', '反']
puon	['蕃', '藩']
buom	['帆', '凡']
buomh	['帆', '梵']
ba	['繁', '婆', '鄱']
puonq	['反', '返']
buonh	['飯']
buonq	['飯']
buomq	['犯', '範']
puonh	['販']
phuomh	['泛']
bung	['梵', '馮']
buang	['方', '坊', '房', '防', '肪']
puang	['方', '坊', '肪']
phuang	['芳', '妨']
buangh	['防']
phuangh	['妨', '訪']
phuangq	['紡', '彷', '仿']
puangh	['放']
puangq	['放']
puj	['非', '緋', '扉', '飛', '誹']
bujh	['菲', '蜚', '翡', '費', '痱']
phuj	['菲']
phujq	['菲', '斐']
phojq	['啡']
pujq	['蜚', '匪']
buj	['肥', '痱']
pujh	['誹', '沸']
phuojh	['肺']
phujh	['費']
puojh	['廢']
buojh	['吠']
bunh	['分', '份']
phun	['紛', '芬', '氛']
punh	['奮', '糞', '拚']
phunh	['忿']
phunq	['忿']
pung	['風', '楓', '瘋']
pungh	['風', '諷']
puong	['封']
puongh	['封']
phung	['豐']
boung	['蜂', '蓬', '篷']
phuong	['蜂', '峰', '鋒', '烽']
buong	['逢', '縫']
buongh	['縫', '俸']
bying	['馮', '憑']
bungh	['鳳']
buongq	['奉']
poungq	['俸']
but	['佛']
byiq	['否']
buo	['夫', '扶', '芙', '符', '鳧']
puo	['夫', '膚', '扶']
phuo	['敷', '孵', '麩', '俘', '鋪']
bu	['浮', '掊']
buk	['服', '伏', '袱', '復']
buh	['伏', '覆', '復', '複']
puk	['福', '幅', '輻', '蝠', '腹', '複']
puh	['輻', '富']
phut	['彿', '拂']
puoq	['府', '俯', '斧', '甫', '脯', '父']
buoq	['腐', '釜', '輔', '父']
phuoq	['撫', '剖']
buoh	['附']
phuoh	['赴', '仆']
buah	['縛']
buak	['縛']
buq	['婦', '負', '阜', '菩']
phuh	['副', '覆', '仆']
phuk	['副', '覆']
phyik	['副']
pheok	['覆']
khae	['咖']
gya	['伽', '茄', '枷']
keep	['夾']
qeet	['軋']
keejh	['尬', '介', '疥', '芥', '界', '戒', '誡', '屆']
keoj	['該']
keojq	['改']
ghap	['蓋']
kajh	['蓋', '丐', '鈣']
kap	['蓋', '鉀', '閘']
keojh	['概', '溉', '鈣']
kyjh	['溉', '既']
kat	['丐', '割', '葛']
gyen	['乾', '鍵', '虔']
kan	['乾', '肝', '竿', '汗', '奸']
kanh	['幹', '杆']
kam	['甘', '柑']
kaem	['尷', '監', '鑑']
kanq	['趕', '桿', '稈']
kamq	['敢', '橄']
komq	['感', '贛']
komh	['贛']
koungh	['贛', '貢', '虹']
kang	['岡', '崗', '剛', '鋼', '綱', '缸', '亢']
kangh	['鋼']
ghoeung	['缸', '扛', '降']
koeung	['扛', '肛', '江']
hoeung	['肛']
ghoungh	['港', '哄', '烘', '閧']
koeungq	['港', '講']
koeungh	['槓', '虹', '降']
kaw	['高', '篙', '膏', '羔', '糕', '咎']
kawh	['膏', '告']
kawq	['稿']
kaewq	['搞', '絞', '狡', '佼', '餃', '攪']
ghawq	['鎬', '浩']
kok	['告']
kaek	['格', '骼']
kak	['格', '擱', '胳', '閣', '各']
ka	['哥', '歌', '柯']
kop	['鴿', '蛤', '頜', '合', '浩']
kwa	['戈', '鍋', '渦', '過', '蝸']
ngyt	['疙', '屹']
keek	['革', '隔']
ghomq	['頜', '涵', '撼']
ghop	['合', '盒']
kah	['個']
kyip	['給', '級', '汲', '急']
keon	['根', '跟']
kaeng	['庚', '更', '羹', '埂']
keeng	['耕']
kaengh	['更']
kaengq	['哽', '梗', '埂']
keengq	['耿']
giaeng	['頸']
keng	['頸', '經']
kiaengq	['頸']
koung	['工', '攻', '功', '公', '蚣']
kong	['攻']
tjuong	['蚣', '忪', '鐘', '鍾']
kung	['弓', '躬', '宮']
kuong	['供', '恭', '共']
kuongh	['供']
kuongq	['鞏', '拱']
ghoungq	['汞', '鴻']
guongh	['共']
kou	['溝', '勾', '鉤', '枸', '夠', '句']
kouq	['枸', '狗', '苟', '垢']
kuoq	['枸', '矩']
khou	['夠', '摳']
kouh	['夠', '購', '構', '句']
ko	['孤', '咕', '姑', '菇', '沽', '辜', '箍', '呱']
koq	['估', '沽', '古', '股', '鼓', '蠱', '賈']
koh	['沽', '故', '固', '僱', '顧']
kot	['骨', '滑']
kouk	['穀']
kaeh	['賈', '假', '價', '架', '駕', '嫁', '稼']
kaeq	['賈', '假']
kwae	['瓜', '蝸']
kwaet	['刮']
kwaeq	['寡']
kweeh	['卦', '掛', '褂']
kweej	['乖']
kweeq	['拐', '柺']
kweejh	['怪', '壞']
kwan	['官', '棺', '冠', '觀', '貫']
kwanh	['棺', '冠', '觀', '館', '貫', '罐', '灌']
kwaen	['關']
kwanq	['管']
kwang	['光', '橫', '恍']
kwangh	['光']
kwangq	['廣']
kuangq	['獷', '逛']
kwaengq	['獷', '礦']
kuj	['歸', '皈']
kwie	['規']
khu	['龜', '丘', '邱', '蚯']
ku	['龜', '鳩']
kui	['龜']
ghoj	['瑰', '槐', '徊', '回', '迴', '茴', '蛔']
koj	['瑰', '傀']
ziaek	['矽', '夕', '汐', '席']
kwej	['閨']
kujq	['鬼']
kuiq	['軌']
kueq	['詭', '桅']
kujh	['貴']
guih	['櫃', '饋', '匱']
kwejh	['桂']
gueq	['跪']
khueq	['跪']
kwajh	['劊', '會', '膾']
kwat	['劊', '活', '括']
konq	['滾']
ghonq	['棍', '渾', '混']
qwa	['渦', '窩', '倭']
kwak	['郭']
kwah	['過', '裹', '划']
kweok	['國']
kwaq	['果', '菓', '裹', '划']
hop	['哈']
ngop	['哈']
ghae	['蝦', '霞', '瑕', '遐']
gheoj	['孩', '咳']
ghwaen	['還', '環']
zwien	['還', '旋', '漩', '圓']
gheej	['骸', '鞋', '諧']
heojq	['海']
ghajh	['害']
ghat	['害', '褐', '蝎']
gheojq	['亥']
gheejq	['駭']
gham	['酣']
ghamh	['憨']
ham	['憨']
ghan	['寒', '韓', '汗', '翰']
ghom	['含', '函', '涵']
gheem	['函', '咸', '鹹']
ghanh	['汗', '捍', '悍', '翰', '瀚']
gheemq	['喊', '減', '餡']
hamq	['喊']
heemq	['喊']
hanh	['罕', '漢']
hanq	['罕', '焊', '灘']
ghanq	['旱']
ghaenq	['捍']
ghomh	['憾']
hang	['夯', '炕']
hoeungq	['夯']
ghaeng	['行', '衡']
ghaengh	['行']
ghang	['行', '杭', '航', '吭', '抗']
ghangh	['行', '吭']
ghoeungh	['巷', '閧']
haw	['蒿', '撓']
ghaw	['豪', '嚎', '蠔', '壕', '毫', '號']
ghawh	['號']
hawh	['好', '耗']
hawq	['好']
ha	['呵']
hah	['呵']
hat	['喝']
qaejh	['喝']
ghwa	['禾', '和']
ghwah	['和']
gha	['河', '何', '荷', '苛']
ghaq	['何', '荷']
gheek	['核', '覈', '繳']
ghet	['覈', '擷', '頁']
gheojh	['劾']
gheok	['劾']
kheejh	['劾', '揩']
ghak	['涸', '鶴']
ghah	['賀']
haek	['赫', '嚇']
haeh	['嚇', '唬']
heok	['黑', '嘿']
gheon	['痕']
gheonq	['很', '狠']
gheonh	['恨']
haeng	['亨', '哼']
hyangq	['亨', '享', '響', '嚮']
ghwaeng	['橫', '蝗']
ghwaengh	['橫', '蝗']
gheong	['恆']
ghoung	['烘', '紅', '虹', '洪', '鴻']
houng	['烘']
houngh	['烘']
hweeng	['轟']
hweengh	['轟']
ghweeng	['宏']
ghweong	['弘']
ghou	['侯', '喉', '猴']
houh	['吼', '蔻']
houq	['吼']
ghouh	['候', '後', '后', '逅', '厚']
ghouq	['後', '后', '厚']
gho	['乎', '糊', '胡', '湖', '葫', '蝴', '瑚', '餬', '鬍', '狐', '弧', '壺']
ho	['呼', '戲', '葫']
hot	['忽', '惚']
hye	['戲', '犧', '曦']
hyeh	['戲']
hoq	['虎', '琥']
kwaek	['唬']
ghoq	['戶', '滬']
ghoh	['護', '互']
hwae	['花', '嘩', '華']
ghwae	['嘩', '華', '划', '樺']
ghwaeh	['華', '樺']
ghot	['滑']
ghweet	['滑', '猾']
ghweek	['劃', '畫', '獲']
hweek	['劃']
hwaeh	['化']
ghwaejh	['話']
ghweeh	['畫']
ghweej	['懷', '淮', '槐']
ghwaeq	['踝']
ghweejh	['壞']
hwan	['歡']
ghwan	['桓', '完', '丸', '院']
ghwanq	['緩', '棵']
hwanh	['奐', '喚', '煥', '渙']
ghwanh	['換']
thwanq	['瘓']
hwajh	['渙']
ghweenh	['幻']
ghwaenh	['患', '宦']
hwang	['荒']
hwangh	['荒']
hwangq	['慌', '謊']
ghwang	['黃', '磺', '簧', '皇', '惶', '蝗', '煌', '凰', '徨', '遑']
huangq	['謊']
ghwangq	['晃', '幌']
hoj	['灰']
khoj	['恢', '詼', '盔', '魁']
huj	['揮', '輝', '暉', '徽']
ghojh	['迴', '潰']
hueh	['毀']
hueq	['毀', '燬']
hojh	['悔', '晦', '誨']
hojq	['悔', '賄']
ghwajh	['會', '繪']
qwajh	['薈']
ghojq	['匯']
khweej	['匯']
ujh	['彙', '圍', '緯', '胃', '渭', '謂', '蝟']
ghwejh	['惠', '慧']
hujh	['卉', '諱']
hujq	['卉']
uejh	['彗', '衛']
zwiejh	['彗']
zwih	['彗', '遂', '穗', '隧']
quojh	['穢']
hon	['昏', '婚']
hun	['葷', '薰', '勳']
ghon	['魂', '渾', '餛']
hwat	['豁']
ghwaek	['嚄']
ghwat	['活', '越']
hwaq	['火', '伙']
ghwaq	['夥', '禍']
ghweeq	['夥']
hwah	['貨']
ghweok	['或', '惑']
ghwak	['穫']
hwak	['霍']
djuo	['几', '殊']
kyiq	['几']
kyi	['肌', '飢']
gyj	['幾', '祈', '崎']
gyjh	['幾']
kyj	['幾', '饑', '嘰', '機', '譏']
kyjq	['幾']
ky	['基', '箕', '居', '其']
kej	['稽', '雞']
khejq	['稽', '啓']
kye	['畸', '奇', '羈', '妓']
gye	['奇', '騎', '琦']
tsiaek	['積', '脊', '跡', '鯽', '借', '速']
tsieh	['積']
kek	['激', '擊']
kewh	['激', '叫']
tsit	['唧']
tsyk	['唧', '即', '鯽']
tship	['緝', '葺', '揖']
sop	['圾', '颯']
tsej	['躋', '擠']
